top_year,artist,song,released,url,id
1940,Bing Crosby,Only Forever,1993,https://open.spotify.com/track/4JbyoXyzkwvAn5zRp9H0L2,4JbyoXyzkwvAn5zRp9H0L2
1940,Artie Shaw,Frenesi,1938,https://open.spotify.com/track/6XQi5ON4YY83J5DXelWuO1,6XQi5ON4YY83J5DXelWuO1
1941,Glenn Miller,Song of the Volga Boatmen,2005,https://open.spotify.com/track/1AjPhsgetZ1M9A5O2eFQWN,1AjPhsgetZ1M9A5O2eFQWN
1941,Artie Shaw,Frenesi,1938,https://open.spotify.com/track/6XQi5ON4YY83J5DXelWuO1,6XQi5ON4YY83J5DXelWuO1
1941,Jimmy Dorsey,Amapola (Pretty Little Poppy),2018,https://open.spotify.com/track/6W5Nxh7fPzxLjRSYTrwQKd,6W5Nxh7fPzxLjRSYTrwQKd
1941,Jimmy Dorsey,My Sister and I,1943,https://open.spotify.com/track/43BIEkKuSSXjQHU90nRZuk,43BIEkKuSSXjQHU90nRZuk
1941,Jimmy Dorsey,Maria Elena,2018,https://open.spotify.com/track/1sKAomJX17DFIT9EG6kdkB,1sKAomJX17DFIT9EG6kdkB
1941,Sammy Kaye,Daddy,1990,https://open.spotify.com/track/7koSXhqV3Ho3CNAKFchRsw,7koSXhqV3Ho3CNAKFchRsw
1941,Jimmy Dorsey,My Sister and I,1943,https://open.spotify.com/track/43BIEkKuSSXjQHU90nRZuk,43BIEkKuSSXjQHU90nRZuk
1941,Jimmy Dorsey,Maria Elena,2018,https://open.spotify.com/track/1sKAomJX17DFIT9EG6kdkB,1sKAomJX17DFIT9EG6kdkB
1941,Sammy Kaye,Daddy,1990,https://open.spotify.com/track/7koSXhqV3Ho3CNAKFchRsw,7koSXhqV3Ho3CNAKFchRsw
1941,Jimmy Dorsey,Green Eyes (Aquellos Ojos Verdes),1994,https://open.spotify.com/track/6ljXMbuee1M7DgXVzg7CT8,6ljXMbuee1M7DgXVzg7CT8
1941,Jimmy Dorsey,Blue Champagne,2018,https://open.spotify.com/track/0ip4XJJQYlgBv1W3pmnfw7,0ip4XJJQYlgBv1W3pmnfw7
1941,Freddy Martin,Piano Concerto in B Flat,1937,https://open.spotify.com/track/0DrsoJajgZhHCQLBa1ZAYf,0DrsoJajgZhHCQLBa1ZAYf
