1/2/2010,Kesha,"""Tik Tok""? [3]",9
3/6/2010,The Black Eyed Peas,"""Imma Be""",2
3/20/2010,Taio Cruz featuring Ludacris,"""Break Your Heart""",1
3/27/2010,Rihanna,"""Rude Boy""",5
5/1/2010,B.o.B featuring Bruno Mars,"""Nothin' on You""",2
5/15/2010,Usher featuring will.i.am,"""OMG""",4
5/22/2010,Eminem,"""Not Afraid""",1
6/19/2010,Katy Perry featuring Snoop Dogg,"""California Gurls""",6
7/31/2010,Eminem featuring Rihanna,"""Love the Way You Lie""",7
9/18/2010,Katy Perry,"""Teenage Dream""",2
10/2/2010,Bruno Mars,"""Just the Way You Are""",4
10/30/2010,Far East Movement featuring The Cataracs and Dev,"""Like a G6""",3
11/13/2010,Kesha,"""We R Who We R""",1
11/20/2010,Rihanna featuring Drake,"""What's My Name?""",1
12/4/2010,Rihanna,"""Only Girl (In the World)""",1
12/11/2010,Pink,"""Raise Your Glass""",1
12/18/2010,Katy Perry,"""Firework""",4
,,,
1/8/2011,Bruno Mars,"""Grenade""",4
1/29/2011,Britney Spears,"""Hold It Against Me""",1
2/19/2011,Wiz Khalifa,"""Black and Yellow""",1
2/26/2011,Lady Gaga,"""Born This Way""",6
4/9/2011,Katy Perry featuring Kanye West,"""E.T.""",5
4/30/2011,Rihanna featuring Britney Spears[26],"""S&M""",1
5/21/2011,Adele,"""Rolling in the Deep""? [28]",7
7/9/2011,"Pitbull featuring Ne-Yo, Afrojack and Nayer","""Give Me Everything""",1
7/16/2011,LMFAO featuring Lauren Bennett and GoonRock,"""Party Rock Anthem""",6
8/27/2011,Katy Perry,"""Last Friday Night (T.G.I.F.)""",2
9/10/2011,Maroon 5 featuring Christina Aguilera,"""Moves Like Jagger""",4
9/17/2011,Adele,"""Someone Like You""",5
11/12/2011,Rihanna featuring Calvin Harris,"""We Found Love""",10
,,,
1/7/2012,LMFAO,"""Sexy and I Know It""",2
2/4/2012,Adele,"""Set Fire to the Rain""",2
2/18/2012,Kelly Clarkson,"""Stronger (What Doesn't Kill You)""",3
3/3/2012,Katy Perry,"""Part of Me""",1
3/17/2012,Fun featuring Janelle Monáe,"""We Are Young""",6
4/28/2012,Gotye featuring Kimbra,"""Somebody That I Used to Know""? [41]",8
6/23/2012,Carly Rae Jepsen,"""Call Me Maybe""",9
8/25/2012,Flo Rida,"""Whistle""",2
9/1/2012,Taylor Swift,"""We Are Never Ever Getting Back Together""",3
9/29/2012,Maroon 5,"""One More Night""",9
12/1/2012,Rihanna,"""Diamonds""",3
12/22/2012,Bruno Mars,"""Locked Out of Heaven""",6
,,,
2/2/2013,Macklemore & Ryan Lewis featuring Wanz,"""Thrift Shop""? [49]",6
3/2/2013,Baauer,"""Harlem Shake""",5
4/20/2013,Bruno Mars,"""When I Was Your Man""",1
4/27/2013,Pink featuring Nate Ruess,"""Just Give Me a Reason""",3
5/18/2013,Macklemore & Ryan Lewis featuring Ray Dalton,"""Can't Hold Us""",5
6/22/2013,Robin Thicke featuring T.I. and Pharrell,"""Blurred Lines""",12
9/14/2013,Katy Perry,"""Roar""",2
9/28/2013,Miley Cyrus,"""Wrecking Ball""",3
10/12/2013,Lorde,"""Royals""",9
12/21/2013,Eminem featuring Rihanna,"""The Monster""",4
,,,
1/18/2014,Pitbull featuring Kesha,"""Timber""",3
2/8/2014,Katy Perry featuring Juicy J,"""Dark Horse""",4
3/8/2014,Pharrell Williams,"""Happy""? [62]",10
5/17/2014,John Legend,"""All of Me""",3
6/7/2014,Iggy Azalea featuring Charli XCX,"""Fancy""",7
7/26/2014,Magic!,"""Rude""",6
9/6/2014,Taylor Swift,"""Shake It Off""",4
9/20/2014,Meghan Trainor,"""All About That Bass""",8
11/29/2014,Taylor Swift,"""Blank Space""",7
,,,
1/17/2015,Mark Ronson featuring Bruno Mars,"""Uptown Funk""? [70]",14
4/25/2015,Wiz Khalifa featuring Charlie Puth,"""See You Again""",12
6/6/2015,Taylor Swift featuring Kendrick Lamar,"""Bad Blood""",1
7/25/2015,Omi,"""Cheerleader""",6
8/22/2015,The Weeknd,"""Can't Feel My Face""",3
9/19/2015,Justin Bieber,"""What Do You Mean?""",1
10/3/2015,The Weeknd,"""The Hills""",6
11/14/2015,Adele,"""Hello""",10
,,,
1/23/2016,Justin Bieber,"""Sorry""",3
2/13/2016,Justin Bieber,"""Love Yourself""? [80]",2
2/20/2016,Zayn,"""Pillowtalk""",1
3/5/2016,Rihanna featuring Drake,"""Work""",9
5/7/2016,Desiigner,"""Panda""",2
5/21/2016,Drake featuring WizKid and Kyla,"""One Dance""",10
5/28/2016,Justin Timberlake,"""Can't Stop the Feeling!""",1
8/6/2016,Sia featuring Sean Paul,"""Cheap Thrills""",4
9/3/2016,The Chainsmokers featuring Halsey,"""Closer""",12
11/26/2016,Rae Sremmurd featuring Gucci Mane,"""Black Beatles""",7
,,,
1/7/2017,The Weeknd featuring Daft Punk,"""Starboy""",1
1/21/2017,Migos featuring Lil Uzi Vert,"""Bad and Boujee""",3
1/28/2017,Ed Sheeran,"""Shape of You""? [92]",12
5/6/2017,Kendrick Lamar,"""Humble""",1
5/13/2017,Bruno Mars,"""That's What I Like""",1
5/20/2017,"DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne","""I'm the One""",1
5/27/2017,Luis Fonsi and Daddy Yankee featuring Justin Bieber,"""Despacito""",16
9/16/2017,Taylor Swift,"""Look What You Made Me Do""",3
10/7/2017,Cardi B,"""Bodak Yellow""",3
10/28/2017,Post Malone featuring 21 Savage,"""Rockstar""",8
12/23/2017,Ed Sheeran solo or duet with Beyoncé1,"""Perfect""",6
,,,
1/27/2018,Camila Cabello featuring Young Thug,"""Havana""",1
2/3/2018,Drake,"""God's Plan""? [103]",11
4/21/2018,Drake,"""Nice for What""",8
5/19/2018,Childish Gambino,"""This Is America""",2
6/16/2018,Post Malone featuring Ty Dolla Sign,"""Psycho""",1
6/30/2018,XXXTentacion,"""Sad!""",1
7/7/2018,"Cardi B, Bad Bunny and J Balvin","""I Like It""",1
7/21/2018,Drake,"""In My Feelings""",10
9/29/2018,Maroon 5 featuring Cardi B,"""Girls Like You""",7
11/17/2018,Ariana Grande,"""Thank U, Next""",7
12/8/2018,Travis Scott,"""Sicko Mode""",1
,,,
1/12/2019,Halsey,"""Without Me""",2
1/19/2019,Post Malone and Swae Lee,"""Sunflower""",1
2/2/2019,Ariana Grande,"""7 Rings""",8
3/9/2019,Lady Gaga and Bradley Cooper,"""Shallow""",1
3/16/2019,Jonas Brothers,"""Sucker""",1
4/13/2019,Lil Nas X solo or featuring Billy Ray Cyrus2,"""Old Town Road"" ? [119]",19
8/24/2019,Billie Eilish,"""Bad Guy""",1
8/31/2019,Shawn Mendes and Camila Cabello,"""Señorita""",1
9/7/2019,Lizzo,"""Truth Hurts""",7
10/19/2019,Travis Scott,"""Highest in the Room""",1
11/2/2019,Lewis Capaldi,"""Someone You Loved""",3
11/9/2019,Selena Gomez,"""Lose You to Love Me""",1
11/30/2019,Post Malone,"""Circles""",3
12/14/2019,The Weeknd,"""Heartless""",1
12/21/2019,Mariah Carey,"""All I Want for Christmas Is You""",3
